User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:121.0) Gecko/20100101 Firefox/121.0
Accept: */*
Accept-Language: en-US,en;q=0.9
Accept-Encoding: gzip, deflate
Connection: keep-alive
Referer: https://duckduckgo.com/
Origin: https://target.com
X-Forwarded-For: 77.45.233.101
X-Forwarded-Host: login.target.com
X-Forwarded-Proto: https
X-Real-IP: 192.168.99.55
X-Originating-IP: 66.150.22.19
X-Remote-IP: 185.12.44.90
X-Client-IP: 203.99.77.12
X-Host: target.com
X-Cluster-Client-IP: 103.44.55.21
Forwarded: for=203.0.113.42;proto=https;by=198.51.100.10
True-Client-IP: 149.100.20.200
CF-Connecting-IP: 102.88.45.65
Fastly-Client-IP: 45.155.22.31
